<1>
0 1 2
<2>
0 1 3
<3>
0 1 2
<4>
0 3 19
0 4 5
1 6 43
2 12 13
10 12 181
5 24 73
17 24 193
11 24 409
23 48 33232924804801
47 96 97
95 96 104837857
<5>
0 1 2
<6>
0 5 2801
1 10 11
6 10 191
2 15 31
7 15 159871
12 30 6568801
27 60 61
3 25 2551
38 100 101
88 100 13001
18 75 29251
43 75 217648180992721729506406538251
68 150 151
23 125 251
48 125 2182816753758823696751
73 125 5903546678356844440204179342119473011887617239565323800435501
98 250 751
14 70 71
49 70 421
59 210 211
29 175 701
169 350 3851
139 245 353207957997402826578121
174 490 491
419 490 12251
57 60 555915824341
8 25 31280679788951
13 50 79787519018560501
143 150 6005492312551
223 250 1173001
123 250 4833574921448501
248 250 31818863467130251
4 35 2127431041
9 35 77192844961
19 70 12128131
54 70 603926681
24 140 102314938321
94 140 18690488255321
129 210 338640865331157691
199 210 450798894542150330401
64 175 1237578612719152201
99 175 271796439196451766191391111220539009912588742400633481231401
134 175 1094471317606762277701
344 350 8230203760252601
34 245 4896864001
69 245 9152363081
104 245 11492120512321
209 490 20632921
454 490 648128907712931
244 490 11193638545408118035815864041
489 490 13454548201145619522981465181
